STATION,YEAR,PRECIPITATION
ERIOP,1959,102.41257575757577
ERIOP,1960,103.33333333333333
ERIOP,1961,117.0
ERIOP,1962,81.08333333333333
ERIOP,1963,135.66666666666666
ERIOP,1964,125.16666666666667
ERIOP,1965,137.25
ERIOP,1966,115.58333333333333
ERIOP,1967,146.83333333333334
ERIOP,1968,112.16666666666667
ERIOP,1969,122.25
ERIOP,1970,130.33333333333334
ERIOP,1971,149.16666666666666
ERIOP,1972,113.33333333333333
ERIOP,1973,85.75
ERIOP,1974,124.0
ERIOP,1975,100.0
ERIOP,1976,76.91666666666667
ERIOP,1977,145.75
ERIOP,1978,203.16666666666666
ERIOP,1979,84.91666666666667
ERIOP,1980,102.25
ERIOP,1981,157.66419141914193
ERIOP,1982,128.16666666666666
ERIOP,1983,206.41666666666666
ERIOP,1984,200.58333333333334
ERIOP,1985,142.08333333333334
ERIOP,1986,131.91666666666666
ERIOP,1987,161.66666666666666
ERIOP,1988,154.41666666666666
ERIOP,1989,95.83333333333333
ERIOP,1990,160.5
ERIOP,1991,136.9570446735395
ERIOP,1992,153.60050865800866
ERIOP,1993,145.58333333333334
ERIOP,1994,160.75
ERIOP,1995,78.08333333333333
ERIOP,1996,87.25
ERIOP,1997,88.08333333333333
ERIOP,1998,115.96499999999999
ERIOP,1999,106.67424242424242
ERIOP,2000,141.25
ERIOP,2001,91.75
ERIOP,2002,82.66666666666667
ERIOP,2003,84.66666666666667
ERIOP,2004,100.91666666666667
ERIOP,2005,113.75
ERIOP,2006,98.91666666666667
ERIOP,2007,114.08333333333333
ERIOP,2008,138.08333333333334
ERIOP,2009,79.5
ERIOP,2010,142.83333333333334
ERIOP,2011,129.41666666666666
ERIOP,2012,106.5
ERIOP,2013,97.41666666666667
ERIOP,2014,97.43181818181819
ERIOP,2015,142.5
ERIOP,2016,130.75
ERIOP,2017,82.33333333333333
ERIOP,2018,182.33333333333334
ERIOP,2019,144.08333333333334
ERIOP,2020,54.416666666666664
ERIOP,2021,168.25
ERIOP,2022,126.91666666666667
ERIOP,2023,110.25
ERIOP,2024,143.32697568554826
FAGAN,1972,128.33333333333334
FAGAN,1973,81.5
FAGAN,1974,110.58333333333333
FAGAN,1975,69.16666666666667
FAGAN,1976,57.916666666666664
FAGAN,1977,120.0
FAGAN,1978,133.33333333333334
FAGAN,1979,38.583333333333336
FAGAN,1980,99.91666666666667
FAGAN,1981,104.66666666666667
FAGAN,1982,130.0
FLORI,1922,128.06865174299386
FLORI,1923,219.33333333333334
FLORI,1924,104.5
FLORI,1925,122.25
FLORI,1926,214.08333333333334
FLORI,1927,152.41666666666666
FLORI,1928,118.91666666666667
FLORI,1929,206.5
FLORI,1930,230.33333333333334
FLORI,1931,318.4166666666667
FLORI,1932,180.91666666666666
FLORI,1933,117.5
FLORI,1934,140.58333333333334
FLORI,1935,220.91666666666666
FLORI,1936,149.33333333333334
FLORI,1937,174.25
FLORI,1938,169.0
FLORI,1939,144.16666666666666
FLORI,1940,190.33333333333334
FLORI,1941,182.66666666666666
FLORI,1942,136.86951754385964
FLORI,1943,162.0
FLORI,1944,176.58333333333334
FLORI,1945,148.76754385964912
FLORI,1946,194.58333333333334
FLORI,1947,112.25
FLORI,1948,128.83333333333334
FLORI,1949,153.91666666666666
FLORI,1950,132.25
FLORI,1951,189.16666666666666
FLORI,1952,180.08333333333334
FLORI,1953,100.41666666666667
FLORI,1954,187.83333333333334
FLORI,1955,182.25
FLORI,1956,91.00548245614034
FLORI,1957,170.75
FLORI,1958,214.61951754385964
FLORI,1959,214.90367965367966
FLORI,1960,137.5
FLORI,1961,209.91666666666666
FLORI,1962,129.58333333333334
FLORI,1963,169.0
FLORI,1964,200.33333333333334
FLORI,1965,208.66666666666666
FLORI,1966,197.08333333333334
FLORI,1967,229.25
FLORI,1968,136.33333333333334
FLORI,1969,136.08333333333334
FLORI,1970,138.0
FLORI,1971,203.75
FLORI,1972,152.25
FLORI,1973,140.58333333333334
FLORI,1974,194.08333333333334
FLORI,1975,157.08333333333334
FLORI,1976,200.91666666666666
FLORI,1977,170.0
FLORI,1978,285.5833333333333
FLORI,1979,187.96458475734792
FLORI,1980,183.75
FLORI,1981,189.20496937273253
FLORI,1982,204.79545454545453
FLORI,1983,329.6666666666667
FLORI,1984,287.5
FLORI,1985,236.83333333333334
FLORI,1986,171.91666666666666
FLORI,1987,205.75
FLORI,1988,249.33333333333334
FLORI,1989,128.83333333333334
FLORI,1990,261.3333333333333
FLORI,1991,185.33333333333334
FLORI,1992,236.0
FLORI,1993,204.08333333333334
FLORI,1994,202.33333333333334
FLORI,1995,110.33333333333333
FLORI,1996,129.91666666666666
FLORI,1997,167.08333333333334
FLORI,1998,171.91666666666666
FLORI,1999,172.91666666666666
FLORI,2000,221.16666666666666
FORES,1922,137.30430772308924
FORES,1923,214.25
FORES,1924,80.75
FORES,1925,97.0
FORES,1926,185.66666666666666
FORES,1927,126.5
FORES,1928,90.08333333333333
FORES,1929,157.5
FORES,1930,174.91666666666666
FORES,1931,283.0833333333333
FORES,1932,153.08333333333334
FORES,1933,109.66666666666667
FORES,1934,128.25
FORES,1935,192.66666666666666
FORES,1936,128.16666666666666
FORES,1937,142.25
FORES,1938,146.41666666666666
FORES,1939,125.91666666666667
FORES,1940,165.33333333333334
FORES,1941,165.58333333333334
FORES,1942,119.41666666666667
FORES,1943,130.75
FORES,1944,156.83333333333334
FORES,1945,125.57239057239057
FORES,1946,164.16666666666666
FORES,1947,83.16666666666667
FORES,1948,102.33333333333333
FORES,1949,117.0
FORES,1950,105.0
FORES,1951,163.25
FORES,1952,138.16666666666666
FORES,1953,95.60916666666667
FORES,1954,155.75
FORES,1955,176.22882383646527
FORES,1956,76.22607260726072
FORES,1957,137.2423469387755
FORES,1958,211.90901360544217
FORES,1959,169.82666666666668
FORES,1960,115.16666666666667
FORES,1961,178.75
FORES,1962,115.33333333333333
FORES,1963,146.08333333333334
FORES,1964,181.83333333333334
FORES,1965,174.16666666666666
FORES,1966,172.75
FORES,1967,186.58333333333334
FORES,1968,123.66666666666667
FORES,1969,111.91666666666667
FORES,1970,107.91666666666667
FORES,1971,171.75
FORES,1972,128.91666666666666
FORES,1973,115.5
FORES,1974,159.08333333333334
FORES,1975,125.58333333333333
FORES,1976,123.16666666666667
FORES,1977,136.83333333333334
FORES,1978,236.66666666666666
FORES,1979,94.41666666666667
FORES,1980,146.1557239057239
FORES,1981,153.16666666666666
FORES,1982,158.16666666666666
FORES,1983,254.16666666666666
FORES,1984,235.66666666666666
FORES,1985,182.75
FORES,1986,116.16666666666667
FORES,1987,149.58333333333334
FORES,1988,190.66666666666666
FORES,1989,103.33333333333333
FORES,1990,204.08333333333334
FORES,1991,133.66666666666666
FORES,1992,188.1557239057239
FORES,1993,146.5
FORES,1994,179.33333333333334
FORES,1995,88.91666666666667
FORES,1996,123.58333333333333
FORES,1997,124.25
FORES,1998,158.91666666666666
FORES,1999,132.25
FORES,2000,226.02227722772275
FORES,2001,154.58333333333334
FORES,2002,96.75
FORES,2003,123.25
FORES,2004,103.5
FORES,2005,111.58333333333333
FORES,2006,131.33333333333334
FORES,2007,159.83333333333334
FORES,2008,149.0
FORES,2009,79.25
FORES,2010,187.58333333333334
FORES,2011,138.33333333333334
FORES,2012,135.66666666666666
FORES,2013,148.0
FORES,2014,167.3927392739274
FORES,2015,165.5
FORES,2016,177.41666666666666
FORES,2017,110.41666666666667
FORES,2018,187.25
FORES,2019,199.41666666666666
FORES,2020,86.83333333333333
FORES,2021,169.25
FORES,2022,201.83333333333334
FORES,2023,118.5
FORES,2024,186.65617606678634
GRARI,1930,96.07118748397079
GRARI,1931,123.51735196164545
GRARI,1932,105.58333333333333
GRARI,1933,89.0
GRARI,1934,77.08333333333333
GRARI,1935,144.83333333333334
GRARI,1936,88.0
GRARI,1937,115.5
GRARI,1938,98.83333333333333
GRARI,1939,102.75
GRARI,1940,149.66666666666666
GRARI,1941,129.83333333333334
GRARI,1942,90.83333333333333
GRARI,1943,95.91666666666667
GRARI,1944,112.16666666666667
GRARI,1945,102.82875457875457
GRARI,1946,118.16666666666667
GRARI,1947,62.5
GRARI,1948,90.16666666666667
GRARI,1949,66.76481481481481
GRARI,1950,88.33333333333333
GRARI,1951,119.66666666666667
GRARI,1952,82.25
GRARI,1953,65.41213768115942
GRARI,1954,163.5
GRARI,1955,115.78727949787732
GRARI,1956,53.66208791208791
GRARI,1957,108.75094696969695
GRARI,1958,108.50094696969695
GRARI,1959,100.5686191626409
GRARI,1960,76.91666666666667
GRARI,1961,90.25
GRARI,1962,76.25
GRARI,1963,135.5
GRARI,1964,130.08333333333334
GRARI,1965,126.83333333333333
GRARI,1966,120.58333333333333
GRARI,1967,128.58333333333334
GRARI,1968,124.75
GRARI,1969,98.75
GRARI,1970,92.91666666666667
GRARI,1971,124.25
GRARI,1972,131.58333333333334
GRARI,1973,70.16666666666667
GRARI,1974,112.58333333333333
GRARI,1975,74.16666666666667
GRARI,1976,70.58333333333333
GRARI,1977,109.5
GRARI,1978,165.16666666666666
GRARI,1979,87.91666666666667
GRARI,1980,84.16666666666667
GRARI,1981,135.0
GRARI,1982,88.33333333333333
GRARI,1983,198.83333333333334
GRARI,1984,186.25
GRARI,1985,120.41666666666667
GRARI,1986,85.5
GRARI,1987,95.66666666666667
GRARI,1988,101.75
GRARI,1989,72.75
GRARI,1990,146.16666666666666
GRARI,1991,83.75094696969697
GRARI,1992,94.83333333333333
GRARI,1993,132.15648148148148
GRARI,1994,123.41666666666667
GRARI,1995,77.38496376811594
GRARI,1996,65.08333333333333
GRARI,1997,92.5
GRARI,1998,120.16666666666667
GRARI,1999,94.0
GRARI,2000,161.58333333333334
GRARI,2001,88.5
GRARI,2002,78.5
GRARI,2003,87.83333333333333
GRARI,2004,78.08333333333333
GRARI,2005,77.5
GRARI,2006,94.16666666666667
GRARI,2007,61.5
GRARI,2008,120.08333333333333
GRARI,2009,81.13496376811594
GRARI,2010,104.33333333333333
GRARI,2011,99.5
GRARI,2012,76.83333333333333
GRARI,2013,69.83333333333333
GRARI,2014,92.33333333333333
GRARI,2015,108.83333333333333
GRARI,2016,97.0
GRARI,2017,67.16666666666667
GRARI,2018,159.33333333333334
GRARI,2019,129.66666666666666
GRARI,2020,35.416666666666664
GRARI,2021,142.16666666666666
GRARI,2022,145.33333333333334
GRARI,2023,78.41666666666667
GRARI,2024,128.8762192618171
HUERF,1922,119.16228455869323
HUERF,1923,133.16666666666666
HUERF,1924,91.5
HUERF,1925,108.33333333333333
HUERF,1926,172.5
HUERF,1927,147.5
HUERF,1928,89.91666666666667
HUERF,1929,116.33333333333333
HUERF,1930,157.66666666666666
HUERF,1931,218.33333333333334
HUERF,1932,141.08333333333334
HUERF,1933,70.16666666666667
HUERF,1934,93.58333333333333
HUERF,1935,163.75
HUERF,1936,110.33333333333333
HUERF,1937,121.5
HUERF,1938,77.41666666666667
HUERF,1939,97.91666666666667
HUERF,1940,133.25
HUERF,1941,138.33333333333334
HUERF,1942,89.51441997851772
HUERF,1943,85.08333333333333
HUERF,1944,120.08333333333333
HUERF,1945,101.25166666666667
HUERF,1946,120.0
HUERF,1947,59.75
HUERF,1948,98.91666666666667
HUERF,1949,118.5
HUERF,1950,79.83333333333333
HUERF,1951,144.16666666666666
HUERF,1952,99.58333333333333
HUERF,1953,81.7725
HUERF,1954,122.75
HUERF,1955,111.2893610559588
HUERF,1956,74.25991749174918
HUERF,1957,126.97105263157896
HUERF,1958,135.63771929824563
HUERF,1959,91.93916666666667
HUERF,1960,109.0
HUERF,1961,138.16666666666666
HUERF,1962,81.75
HUERF,1963,121.08333333333333
HUERF,1964,141.58333333333334
HUERF,1965,133.66666666666666
HUERF,1966,121.25
HUERF,1967,130.25
HUERF,1968,108.08333333333333
HUERF,1969,121.75
HUERF,1970,110.66666666666667
HUERF,1971,139.83333333333334
HUERF,1972,119.0
HUERF,1973,84.08333333333333
HUERF,1974,104.33333333333333
HUERF,1975,100.5
HUERF,1976,114.38182704235335
HUERF,1977,133.54336734693877
HUERF,1978,175.25
HUERF,1979,72.91666666666667
HUERF,1980,96.60827441077441
HUERF,1981,136.16666666666666
HUERF,1982,165.66666666666666
HUERF,1983,243.91666666666666
HUERF,1984,179.33333333333334
HUERF,1985,156.41666666666666
HUERF,1986,144.16666666666666
HUERF,1987,148.91666666666666
HUERF,1988,153.83333333333334
HUERF,1989,110.08333333333333
HUERF,1990,167.33333333333334
HUERF,1991,147.63771929824563
